clave_entidad,entidad,clave_plantel,plantel,cct,latitud,longitud,domicilio_plantel
25,Sinaloa,62,Mazatlán II,25DPT0007N,23.196809,-106.419786,Rooselvelt Núm.519
25,Sinaloa,95,Juan de Dios Bátiz,25DPT0018T,24.7717,-107.452248,Blvd. De Los Azahares Y Calle Ave. Del Paraiso S/N
25,Sinaloa,14,Ing. José Antonio Padilla Segura-Culiacán II,25DPT0014X,24.778163,-107.453156,Calzada Aeropuerto Km. 7
25,Sinaloa,15,Navolato,25DPT0005P,24.76203,-107.69434,Carr. Navolato-El Castillo Km. 1.5
25,Sinaloa,16,El Carrizo,25DPT0013Y,26.155,-109.055,Domicilio Conocido
25,Sinaloa,17,Juan José Ríos,25DPT0019S,25.76551555,-108.8213181,"""Carr. Internacional Km. 1609"""
25,Sinaloa,18,Guasave,25DPT0006O,25.553772,-108.475852,Blvd. Juan De Dios Batiz Paredes Núm. 304
25,Sinaloa,19,Mocorito,25DPT0010A,25.479235,-107.9200589,Camino La Brecha Entre G. Cuevas Y L. Cárdenas S/N
25,Sinaloa,20,La Reforma,25DPT0003R,25.08095111,-108.0550661,Loma Del Tio Trini S/N
25,Sinaloa,21,El Rosario,25DPT0011Z,22.993266,-105.865235,Carr. a Aguaverde Km. 1.5
25,Sinaloa,15,Los Mochis II,25DPT0008M,25.793593,-109.012055,"""Av. Alameda S/N EntreE Río Las Cañas Y Dren Juárez"""
25,Sinaloa,16,Culiacan III,25DPT0012Z,24.777929,-107.39434,Calzada De Las Torres S/N
25,Sinaloa,17,Escuinapa,25DPT0021G,22.827374,-105.786238,Carr. a Tecapan Km. 1
25,Sinaloa,29,Culiacan IV,25DPT0026B,24.777929,-107.39434,Carr. Culiacán-Imala Km. 2
26,Sonora,47,Hermosillo I,26DPT0004P,29.029407,-110.910754,Calle De La Planta Y Carr. a Sahuaripa
26,Sonora,48,Hermosillo II,26DPT0005O,29.083946,-110.996282,Av. Luis Donaldo Colosio Y Av. Los Angeles
26,Sonora,49,Nacozari,26DPT0006N,30.37429541,-109.6878755,Calle Del Mercado S/N
26,Sonora,50,Gral. Plutarco Elías Calles - Guaymas,26DPT0007M,27.920362,-110.891344,Miguel Alemán Núm. 210
26,Sonora,96,Ciudad Obregón,26DPT0009K,27.482423,-109.914715,Francisco Villanueva Castelo Num. 2064
26,Sonora,97,Empalme,26DPT0008L,27.965518,-110.801219,Calle 4 Av. 3 S/N
26,Sonora,40,Navojoa,26DPT0016U,27.031231,-109.435216,Carr. Internacional Km. 6.5 Sur
26,Sonora,41,Alvaro Obregón Salido - Huatabampo,26DPT0015V,26.829471,-109.634328,Aldama Prolongación S/N
26,Sonora,42,Nogales,26DPT0011Z,31.2775554,-110.94433,Carr. Iinternacional Km. 5.5
26,Sonora,48,Caborca,26DPT0014W,29.018611,-110.910158,Carr. Las Calabazas Km. 1.5
26,Sonora,79,Hermosillo III,26DPT0017T,29.0196103,-110.9098309,Calle De La Planta Y Los Olivos S/N
26,Sonora,2,San Luis Río Colorado,26DPT0013X,32.46167,-114.718052,Av. De La Transformación López Portillo S/N
26,Sonora,53,Agua Prieta,26DPT0001S,31.31386002,-109.5333481,Calle 25 Av. 29 S/N
26,Sonora,64,Magdalena de Kino,26DPT0018S,30.629345,-110.964317,Av. Niños Heroes Núm. 822
27,Tabasco,51,Villahermosa I,27DPT0002Q,18.03293351,-92.89867401,Congreso De Chilpancingo S/N
27,Tabasco,52,Cárdenas,27DPT0001R,17.98237113,-93.38006616,Profa. Rosario Gil Gonzáles S/N
27,Tabasco,53,Macuspana,27DPT0005N,17.76908096,-92.58020461,Prolongación Alatorre S/N
27,Tabasco,98,Villahermosa II,27DPT0003P,17.969053,-92.926493,Anillo Periférico Núm. 602
27,Tabasco,99,Lic. Manrique Dagdug Urgell,27DPT0004O,17.81430457,-93.39855194,Av. De La Juventud S/N
27,Tabasco,0,Paraíso,27DPT0006M,18.40628889,-93.20713806,Prolongación Santos Degollado S/N
27,Tabasco,91,Comalcalco,27DPT0007L,18.250105,-93.225905,"""Blvd. Leandro Rovirosa wade Av. Unete S/N"""
28,Tamaulipas,54,Tampico,28DPT0001Q,22.29577594,-97.85614729,Gral. Emiliano Zapata Y Lucio Blancos S/N
28,Tamaulipas,55,Matamoros,28DPT0004N,25.87613581,-97.54652381,Av. De La Industria S/N
28,Tamaulipas,27,Ciudad Mante,28DPT0005M,22.76138806,-98.95979889,Libertad Núm. 1600 Nte.
28,Tamaulipas,29,Reynosa,28DPT0003O,26.06355716,-98.31175804,Londres Entre Munich Y Berlin S/N
28,Tamaulipas,72,Ciudad Victoria,28DPT0002P,23.771023,-99.147309,Av. 5 De Mayo Nte. Núm. 3320
28,Tamaulipas,0,Río Bravo,28DPT0006L,25.99255206,-98.12119246,Carr. Matamoros-Mazatlán Km. 72
28,Tamaulipas,46,Nuevo Laredo,28DPT0007K,27.46937188,-99.5450592,Prolongación Rio Grande Y Chicagos S/N
28,Tamaulipas,59,Miguel Alemán,28DPT0008J,26.3878703,-99.03313279,Av. Los Aldamas S/N Esq. Av. Las Torres
29,Tlaxcala,56,Amaxac de Guerrero,29DPT0001P,19.35399701,-98.16563129,Av. Vicente Guerrero Núm. 59
29,Tlaxcala,1,Zacualpan,29DPT0002O,19.2406136,-98.26064587,Km. 3.5 Carretera Tepeyanco - Villalta S/N
29,Tlaxcala,51,Teacalco,29DPT0003N,19.24085941,-98.30890417,Blvd. S/N 
30,Veracruz Llave,57,Veracruz I,30DPT0002D,19.14765001,-96.13352537,Paseo Floresta Ote. S/N. Esq. Bahamas
30,Veracruz Llave,58,Don Juan Osorio López,30DPT0005A,18.13938242,-94.49375689,Av. Universidad Veracruz Km. 9.5
30,Veracruz Llave,3,Potrero,30DPT0001E,18.89671694,-96.78758806,Domicilio Conocido S/N
30,Veracruz Llave,4,Juan Díaz Covarrubias,30DPT0004B,18.15456782,-95.18646955,CONALEP Núm. 1
30,Veracruz Llave,22,Dr. Gonzalo Aguirre Beltrán,30DPT0003C,18.37645548,-95.79069346,Av. Papaloapan S/N
30,Veracruz Llave,44,Veracruz II,30DPT0006Z,19.21166787,-96.1642313,"""Prolongación Cuahutémoc Esq. Verduzco S/N"""
30,Veracruz Llave,62,Manuel Rivera Cambas,30DPT0008Y,19.54033655,-96.90929532,Jorge Cerdán Núm. 32
30,Veracruz Llave,65,Lic. Jesús Reyes Heroles,30DPT0007Z,20.94331915,-97.41002083,2da. De General Silva Y Nacional
30,Veracruz Llave,77,Poza Rica,30DPT0010M,20.54011821,-97.428689,Misantla S/N
30,Veracruz Llave,1,Dr. Guillermo Figueroa Cárdenas,30DPT0009X,18.42987224,-95.21586657,Av. Dr. Guillermo Figueroa Cárndenas S/N
30,Veracruz Llave,44,Manuel Maples Arce,30DPT0011L,20.44137823,-97.33909249,Prolongación Av. 16 De Septiembre S/N
30,Veracruz Llave,52,Orizaba,30DPT0012K,18.87050861,-97.09665298,Av. Vicente M. Corona S/N
30,Veracruz Llave,20,Vega de Alatorre,30DPT0013J,19.97323652,-96.60632372,"""Carr. Federal  Carr. a Nautla Km. 80"""
30,Veracruz Llave,37,Álamo,30DPT0014I,20.9106,-97.67497,"""Calle Niño Perdido Núm. 4 Col. Francisco I Madero CP. 92730"""
30,Veracruz Llave,38,Córdoba,30DPT0015H,18.86759,-96.91914,"""Retorno Enrique Vargas Amayo s/n Col. Unidad Hab. Erasto Portilla CP 94680"""
31,Yucatán,59,Mérida I,31DPT0001D,20.97056648,-89.5880878,55 Num. 729
31,Yucatán,60,Mérida II,31DPT0002C,20.94740727,-89.65637684,108 Núm. 917
31,Yucatán,5,Valladolid,31DPT0003B,20.68936292,-88.18060398,Carr. Valladolid-Pto. Juarez Limite Zona Urbana
31,Yucatán,64,Tizimin,31DPT0004A,21.15175574,-88.17352295,Km. 2.5 Carr. Tizimin-Buctzotz
31,Yucatán,24,Mérida III,31DPT0005Z,21.01757452,-89.66221333,Tab. Catastral 13800 Perif. Pte. Km 38 S/N
32,Zacatecas,36,Maestra Dolores Castro Varela,32DPT0001C,22.75872915,-102.5332332,Av. México Núm. 10
32,Zacatecas,37,Fresnillo,32DPT0002B,23.18257699,-102.8805256,PALOMAR NÚM 715
32,Zacatecas,26,Mazapil,32DPT0003A,24.64212058,-101.5509117,Venustiano Carranza S/N
